FSU,Sample Uploaded,Assigned to ENM,First ENM to SUP,Latest ENM to SUP,First Return ENM to SUP,Latest Return ENM to SUP,No of repeat submissions to SUP,First SUP to DS,Latest SUP to DS,First Return SUP to DS,Latest Return SUP to DS,No of repeat submissions to DS,First DS Acceptance,Latest DS Acceptance,Last Update,No of Warnings,No of SSUs,Max Visit Number,FV,RV,Zone,Ro,Sro,Area Type,Schedule 0.0 Status,FSU Final Status,One-Go Completion,Potential Data Quality Issue (ENM/SUP),Potential SUP Oversight (DS Rejected after SUP Approval)
1615058305,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,3,0,1,North-Eastern Zone,Gangtok,GTK,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615059205,2026-03-28,2026-04-07,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Gangtok,GTK,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615060205,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Gangtok,GTK,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615061205,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Gangtok,GTK,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615062105,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,1,1,0,North-Eastern Zone,Gangtok,GTK,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615063105,2026-03-28,2026-04-07,,,,,0,,,,,0,,,,,,1,1,0,North-Eastern Zone,Gangtok,GTK,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615064105,2026-03-28,2026-04-02,2026-04-12,2026-04-12,2026-04-13,2026-04-13,1,,,,,0,,,2026-04-13,8,12,1,1,0,North-Eastern Zone,Gangtok,GTK,Rural,Returned by Supervisor,RETURN BACK TO ENUMERATOR,0,0,0
1615317405,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Agartala,AGT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615318405,2026-03-28,2026-04-01,2026-04-05,2026-04-10,2026-04-10,2026-04-10,1,2026-04-06,2026-04-10,2026-04-09,2026-04-09,1,2026-04-10,2026-04-10,2026-04-10,13,12,4,0,1,North-Eastern Zone,Agartala,AGT,Rural,Accepted By DS SCH_0_0,Accepted By DS /AT CPG (Process) ,0,0,0
1615319405,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Agartala,AGT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615320405,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Agartala,AGT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615321405,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Agartala,AGT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615322405,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Agartala,AGT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615323305,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,3,0,1,North-Eastern Zone,Agartala,AGT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615324305,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,3,0,1,North-Eastern Zone,Agartala,AGT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615325305,2026-03-28,2026-04-01,2026-04-11,2026-04-11,,,0,2026-04-12,2026-04-12,2026-04-13,2026-04-13,1,,,2026-04-13,4,12,3,0,1,North-Eastern Zone,Agartala,AGT,Rural,Accepted by Supervisor,RETURN TO SUPERVISOR BY DS,0,0,1
1615326305,2026-03-28,2026-04-01,2026-04-12,2026-04-12,,,0,,,,,0,,,2026-04-12,1,12,3,0,1,North-Eastern Zone,Agartala,AGT,Rural,Submitted by Enumerator,SUBMITTED BY ENUMERATOR,0,0,0
1615327305,2026-03-28,2026-04-01,2026-04-11,2026-04-11,,,0,2026-04-12,2026-04-12,,,0,2026-04-13,2026-04-13,2026-04-13,1,12,3,0,1,North-Eastern Zone,Agartala,AGT,Rural,Accepted By DS SCH_0_0,Accepted By DS /AT CPG (Process) ,1,0,0
1615328305,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,3,0,1,North-Eastern Zone,Agartala,AGT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615329205,2026-03-28,2026-04-01,2026-04-04,2026-04-04,,,0,2026-04-05,2026-04-05,,,0,2026-04-06,2026-04-06,2026-04-06,3,12,2,0,1,North-Eastern Zone,Agartala,AGT,Rural,Accepted By DS SCH_0_0,Accepted By DS /AT CPG (Process) ,1,0,0
1615330205,2026-03-28,2026-04-01,2026-04-08,2026-04-11,2026-04-10,2026-04-10,1,2026-04-11,2026-04-11,,,0,2026-04-13,2026-04-13,2026-04-13,6,12,2,0,1,North-Eastern Zone,Agartala,AGT,Rural,Accepted By DS SCH_0_0,Accepted By DS /AT CPG (Process) ,0,0,0
1615331205,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Agartala,AGT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615332205,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Agartala,AGT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615333205,2026-03-28,2026-04-01,2026-04-09,2026-04-09,,,0,2026-04-09,2026-04-09,,,0,2026-04-10,2026-04-10,2026-04-10,1,12,2,0,1,North-Eastern Zone,Agartala,AGT,Rural,Accepted By DS SCH_0_0,Accepted By DS /AT CPG (Process) ,1,0,0
1615334205,2026-03-28,2026-04-01,2026-04-08,2026-04-10,,,0,2026-04-10,2026-04-10,,,0,,,2026-04-10,1,12,2,0,1,North-Eastern Zone,Agartala,AGT,Rural,Accepted by Supervisor,Submitted by Supervisor To Ds ,0,1,0
1615335105,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,1,1,0,North-Eastern Zone,Agartala,AGT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615336105,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,1,1,0,North-Eastern Zone,Agartala,AGT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615337105,2026-03-28,2026-04-01,2026-04-12,2026-04-12,,,0,,,,,0,,,2026-04-12,5,12,1,1,0,North-Eastern Zone,Agartala,AGT,Rural,Submitted by Enumerator,SUBMITTED BY ENUMERATOR,0,0,0
1615338105,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,1,1,0,North-Eastern Zone,Agartala,AGT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615339105,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,1,1,0,North-Eastern Zone,Agartala,AGT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615340105,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,1,1,0,North-Eastern Zone,Agartala,AGT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615468405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615469405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615470405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615471405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615472405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615473405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615474405,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Dibrugarh,DBR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615475405,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Dibrugarh,DBR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615476405,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Dibrugarh,DBR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615477405,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Dibrugarh,DBR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615478405,2026-03-28,2026-04-01,2026-04-09,2026-04-09,,,0,,,,,0,,,2026-04-09,,12,4,0,1,North-Eastern Zone,Dibrugarh,DBR,Rural,Submitted by Enumerator,SUBMITTED BY ENUMERATOR,0,0,0
1615479405,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Dibrugarh,DBR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615480405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Dibrugarh,JRT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615481405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Dibrugarh,JRT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615482405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Dibrugarh,JRT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615483405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Dibrugarh,JRT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615496405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615497405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615498405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615499405,2026-03-28,2026-04-01,2026-04-08,2026-04-08,,,0,,,,,0,,,2026-04-08,,12,4,0,1,North-Eastern Zone,Dibrugarh,DBR,Rural,Submitted by Enumerator,SUBMITTED BY ENUMERATOR,0,0,0
1615502405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615510305,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,3,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615511305,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,3,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615512305,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,3,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615513305,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,3,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615514305,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,3,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615515305,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,3,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615516305,2026-03-28,2026-04-01,2026-04-10,2026-04-10,,,0,,,,,0,,,2026-04-10,,12,3,0,1,North-Eastern Zone,Dibrugarh,DBR,Rural,Submitted by Enumerator,SUBMITTED BY ENUMERATOR,0,0,0
1615517305,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,3,0,1,North-Eastern Zone,Dibrugarh,DBR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615518305,2026-03-28,2026-04-01,2026-04-08,2026-04-08,,,0,,,,,0,,,2026-04-08,,12,3,0,1,North-Eastern Zone,Dibrugarh,DBR,Rural,Submitted by Enumerator,SUBMITTED BY ENUMERATOR,0,0,0
1615519305,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,3,0,1,North-Eastern Zone,Dibrugarh,DBR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615520305,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,3,0,1,North-Eastern Zone,Dibrugarh,DBR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615521305,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,3,0,1,North-Eastern Zone,Dibrugarh,DBR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615522305,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,3,0,1,North-Eastern Zone,Dibrugarh,JRT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615523305,2026-03-28,2026-04-02,2026-04-04,2026-04-06,2026-04-06,2026-04-06,1,2026-04-07,2026-04-07,,,0,2026-04-10,2026-04-10,2026-04-10,2,12,3,0,1,North-Eastern Zone,Dibrugarh,JRT,Rural,Accepted By DS SCH_0_0,Accepted By DS /AT CPG (Process) ,0,0,0
1615524305,2026-03-28,2026-04-02,2026-04-04,2026-04-04,,,0,2026-04-06,2026-04-06,,,0,2026-04-09,2026-04-09,2026-04-09,,12,3,0,1,North-Eastern Zone,Dibrugarh,JRT,Rural,Accepted By DS SCH_0_0,Accepted By DS /AT CPG (Process) ,1,0,0
1615525305,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,3,0,1,North-Eastern Zone,Dibrugarh,JRT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615538305,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,3,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615539305,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,3,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615540305,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,3,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615541305,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,3,0,1,North-Eastern Zone,Dibrugarh,DBR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615544305,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,3,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615552205,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615553205,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615554205,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615555205,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615556205,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615557205,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615558205,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Dibrugarh,DBR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615559205,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Dibrugarh,DBR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615560205,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Dibrugarh,DBR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615561205,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Dibrugarh,DBR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615562205,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Dibrugarh,DBR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615563205,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Dibrugarh,DBR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615564205,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Dibrugarh,JRT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615565205,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Dibrugarh,JRT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615566205,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Dibrugarh,JRT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615567205,2026-03-28,2026-04-02,2026-04-09,2026-04-09,,,0,2026-04-10,2026-04-10,,,0,2026-04-13,2026-04-13,2026-04-13,,12,2,0,1,North-Eastern Zone,Dibrugarh,JRT,Rural,Accepted By DS SCH_0_0,Accepted By DS /AT CPG (Process) ,1,0,0
1615580205,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615581205,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615582205,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615583205,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Dibrugarh,DBR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615586205,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,2,0,1,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615594105,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,1,1,0,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615595105,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,1,1,0,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615596105,2026-03-28,2026-04-01,2026-04-06,2026-04-07,2026-04-07,2026-04-07,1,2026-04-07,2026-04-07,,,0,2026-04-10,2026-04-10,2026-04-10,8,12,1,1,0,North-Eastern Zone,Dibrugarh,TZP,Rural,Accepted By DS SCH_0_0,Accepted By DS /AT CPG (Process) ,0,0,0
1615597105,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,1,1,0,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615598105,2026-03-28,2026-04-01,2026-04-06,2026-04-10,2026-04-07,2026-04-10,1,2026-04-07,2026-04-10,2026-04-10,2026-04-10,1,2026-04-13,2026-04-13,2026-04-13,3,12,1,1,0,North-Eastern Zone,Dibrugarh,TZP,Rural,Accepted By DS SCH_0_0,Accepted By DS /AT CPG (Process) ,0,0,0
1615599105,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,1,1,0,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615600105,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,1,1,0,North-Eastern Zone,Dibrugarh,DBR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615601105,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,1,1,0,North-Eastern Zone,Dibrugarh,DBR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615602105,2026-03-28,2026-04-01,2026-04-07,2026-04-08,2026-04-07,2026-04-07,1,,,,,0,,,2026-04-08,4,12,1,1,0,North-Eastern Zone,Dibrugarh,DBR,Rural,Submitted by Enumerator,SUBMITTED BY ENUMERATOR,0,0,0
1615603105,2026-03-28,2026-04-01,2026-04-07,2026-04-07,,,0,2026-04-07,2026-04-07,,,0,,,2026-04-07,1,12,1,1,0,North-Eastern Zone,Dibrugarh,DBR,Rural,Accepted by Supervisor,Submitted by Supervisor To Ds ,0,1,0
1615604105,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,1,1,0,North-Eastern Zone,Dibrugarh,DBR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615605105,2026-03-28,2026-04-01,2026-04-08,2026-04-08,,,0,,,,,0,,,2026-04-08,8,12,1,1,0,North-Eastern Zone,Dibrugarh,DBR,Rural,Submitted by Enumerator,SUBMITTED BY ENUMERATOR,0,0,0
1615606105,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,1,1,0,North-Eastern Zone,Dibrugarh,JRT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615607105,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,1,1,0,North-Eastern Zone,Dibrugarh,JRT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615608105,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,1,1,0,North-Eastern Zone,Dibrugarh,JRT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615609105,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,1,1,0,North-Eastern Zone,Dibrugarh,JRT,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615622105,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,1,1,0,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615623105,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,1,1,0,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615624105,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,1,1,0,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615625105,2026-03-28,2026-04-01,2026-04-07,2026-04-07,,,0,,,,,0,,,2026-04-07,,12,1,1,0,North-Eastern Zone,Dibrugarh,DBR,Rural,Submitted by Enumerator,SUBMITTED BY ENUMERATOR,0,0,0
1615628105,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,1,1,0,North-Eastern Zone,Dibrugarh,TZP,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615981405,2026-03-28,2026-04-01,,,,,0,,,,,0,,,,,,4,0,1,Eastern Zone,Burdwan,BDW,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615982405,2026-03-28,2026-04-01,2026-04-11,2026-04-11,,,0,2026-04-11,2026-04-11,,,0,,,2026-04-11,,12,4,0,1,Eastern Zone,Burdwan,BDW,Rural,Accepted by Supervisor,Submitted by Supervisor To Ds ,0,1,0
1615983405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,Eastern Zone,Burdwan,BDW,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615984405,2026-03-28,2026-04-03,2026-04-08,2026-04-08,,,0,2026-04-09,2026-04-09,,,0,,,2026-04-09,1,12,4,0,1,Eastern Zone,Burdwan,CSR,Rural,Accepted by Supervisor,Submitted by Supervisor To Ds ,0,1,0
1615985405,2026-03-28,2026-04-03,,,,,0,,,,,0,,,,,,4,0,1,Eastern Zone,Burdwan,CSR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615986405,2026-03-28,2026-04-03,,,,,0,,,,,0,,,,,,4,0,1,Eastern Zone,Burdwan,CSR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615987405,2026-03-28,2026-04-04,,,,,0,,,,,0,,,,,,4,0,1,Eastern Zone,Calcutta,KLK,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615988405,2026-03-28,2026-04-04,,,,,0,,,,,0,,,,,,4,0,1,Eastern Zone,Calcutta,KLK,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615989405,2026-03-28,2026-04-04,,,,,0,,,,,0,,,,,,4,0,1,Eastern Zone,Calcutta,KLK,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615990405,2026-03-28,2026-04-03,,,,,0,,,,,0,,,,,,4,0,1,Eastern Zone,Burdwan,CSR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615991405,2026-03-28,2026-04-03,,,,,0,,,,,0,,,,,,4,0,1,Eastern Zone,Burdwan,CSR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615992405,2026-03-28,2026-04-03,,,,,0,,,,,0,,,,,,4,0,1,Eastern Zone,Burdwan,CSR,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615993405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,Eastern Zone,Burdwan,BNK,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615994405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,Eastern Zone,Burdwan,BNK,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615995405,2026-03-28,2026-04-02,,,,,0,,,,,0,,,,,,4,0,1,Eastern Zone,Burdwan,BNK,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615996405,2026-03-28,2026-04-04,,,,,0,,,,,0,,,,,,4,0,1,Eastern Zone,Calcutta,HWH,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615997405,2026-03-28,2026-04-04,,,,,0,,,,,0,,,,,,4,0,1,Eastern Zone,Calcutta,HWH,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615998405,2026-03-28,2026-04-04,,,,,0,,,,,0,,,,,,4,0,1,Eastern Zone,Calcutta,KLK,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1615999405,2026-03-28,2026-04-04,,,,,0,,,,,0,,,,,,4,0,1,Eastern Zone,Calcutta,KLK,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1616000405,2026-03-28,2026-04-04,,,,,0,,,,,0,,,,,,4,0,1,Eastern Zone,Calcutta,KLK,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1616001405,2026-03-28,2026-04-04,,,,,0,,,,,0,,,,,,4,0,1,Eastern Zone,Calcutta,KLK,Rural,,ASSIGN TO ENUMERATOR,0,0,0
1616002405,2026-03-28,2026-04-01,2026-04-04,2026-04-04,,,0,2026-04-05,2026-04-05,,,0,,,2026-04-05,1,12,4,0,1,Eastern Zone,Burdwan,MDN,Rural,Accepted by Supervisor,Submitted by Supervisor To Ds ,0,1,0
